epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,fitness,lr/pg0,lr/pg1,lr/pg2
1,525.527,0.79856,0.82367,1.62553,0.85447,0.77924,0.86263,0.53398,0.76345,0.73257,1.67925,0.788111,9.99293e-05,9.99293e-05,0.0801141
2,1043.33,0.77967,0.78554,1.59414,0.88003,0.79102,0.86987,0.54305,0.75337,0.72052,1.66178,0.799677,0.000199624,0.000199624,0.0602138
3,1550.88,0.77149,0.77283,1.59023,0.85857,0.80749,0.86791,0.54135,0.73564,0.71249,1.6355,0.804836,0.000298101,0.000298101,0.0403122
4,2058.29,0.77329,0.77115,1.57892,0.86962,0.8118,0.87579,0.5478,0.7393,0.6993,1.63789,0.811161,0.00039446,0.00039446,0.0204086
5,2563.6,0.76599,0.76339,1.57994,0.8732,0.81057,0.87478,0.54773,0.74262,0.70047,1.64075,0.810627,0.000487818,0.000487818,0.000501952
6,3069.19,0.76418,0.75378,1.57592,0.87439,0.8151,0.87778,0.54971,0.73644,0.68509,1.63076,0.814089,0.00048116,0.00048116,0.00048116
7,3576.45,0.7655,0.76375,1.57809,0.87334,0.80339,0.8721,0.54834,0.73741,0.69227,1.63752,0.806345,0.000473024,0.000473024,0.000473024
8,4081.29,0.76169,0.76441,1.57995,0.88235,0.80172,0.87315,0.54477,0.73895,0.70346,1.63621,0.806409,0.000463528,0.000463528,0.000463528
9,4585.1,0.76369,0.75867,1.57451,0.87827,0.7979,0.86859,0.5463,0.73217,0.68972,1.62538,0.802872,0.000452732,0.000452732,0.000452732
10,5085.74,0.7552,0.73963,1.5556,0.87663,0.79998,0.86858,0.53778,0.7432,0.69785,1.63995,0.802883,0.0004407,0.0004407,0.0004407
11,5586.7,0.77006,0.75169,1.5748,0.88859,0.79644,0.87478,0.54898,0.73056,0.68184,1.62067,0.805317,0.000427509,0.000427509,0.000427509
12,6085.9,0.75717,0.74067,1.56146,0.89183,0.79253,0.87167,0.55069,0.74072,0.68208,1.63494,0.802918,0.000413238,0.000413238,0.000413238
13,6585.21,0.76204,0.73487,1.55566,0.87471,0.81426,0.87589,0.55318,0.73067,0.67538,1.629,0.813488,0.000397977,0.000397977,0.000397977
14,7083.97,0.755,0.73152,1.55695,0.88565,0.81213,0.88232,0.56016,0.72823,0.67094,1.62399,0.816217,0.000381818,0.000381818,0.000381818
15,7583.08,0.75632,0.73656,1.55699,0.89091,0.80682,0.87539,0.55955,0.7301,0.66725,1.61993,0.811978,0.000364863,0.000364863,0.000364863
16,8081.75,0.74671,0.72771,1.55096,0.88766,0.81728,0.88093,0.55844,0.72395,0.67569,1.61025,0.818392,0.000347214,0.000347214,0.000347214
17,8582.08,0.7433,0.71809,1.54244,0.88484,0.81532,0.883,0.56048,0.72724,0.66775,1.61542,0.81795,0.000328982,0.000328982,0.000328982
18,9081.05,0.7417,0.71051,1.53935,0.892,0.81642,0.88106,0.55557,0.73078,0.66617,1.61607,0.818171,0.000310278,0.000310278,0.000310278
19,9581.01,0.74269,0.71646,1.53471,0.8959,0.80443,0.88412,0.55988,0.72163,0.66314,1.60759,0.813943,0.000291218,0.000291218,0.000291218
20,10081.4,0.74084,0.70806,1.52899,0.88577,0.81311,0.88287,0.55976,0.72752,0.67172,1.61068,0.81684,0.000271919,0.000271919,0.000271919
21,10581.6,0.73551,0.70074,1.52305,0.88862,0.81706,0.88419,0.56532,0.71641,0.65022,1.603,0.82005,0.0002525,0.0002525,0.0002525
22,11080.3,0.73413,0.69965,1.52471,0.88989,0.81194,0.8866,0.56596,0.72161,0.65911,1.6038,0.818427,0.000233081,0.000233081,0.000233081
23,11579.6,0.73886,0.70153,1.52656,0.8946,0.81115,0.88588,0.5664,0.71581,0.65207,1.59271,0.818346,0.000213782,0.000213782,0.000213782
24,12078.5,0.73294,0.69807,1.52327,0.88851,0.81633,0.88605,0.56932,0.71641,0.64763,1.58951,0.820634,0.000194722,0.000194722,0.000194722
25,12577.9,0.72795,0.6891,1.51645,0.89177,0.81336,0.88434,0.56664,0.71741,0.6448,1.59232,0.818718,0.000176018,0.000176018,0.000176018
26,13076.6,0.7154,0.68135,1.50351,0.89403,0.81735,0.8888,0.56839,0.71789,0.64663,1.59049,0.822448,0.000157786,0.000157786,0.000157786
27,13577.8,0.72382,0.68288,1.51274,0.89092,0.81329,0.88704,0.57238,0.71472,0.64057,1.58613,0.819979,0.000140137,0.000140137,0.000140137
28,14078.2,0.71673,0.67639,1.50794,0.89746,0.81894,0.88738,0.57098,0.71195,0.63821,1.58472,0.823427,0.000123182,0.000123182,0.000123182
29,14578.7,0.72386,0.6793,1.51282,0.89108,0.82117,0.88973,0.57175,0.70839,0.63943,1.58073,0.82465,0.000107023,0.000107023,0.000107023
30,15078.8,0.71473,0.67484,1.50032,0.89631,0.81591,0.88889,0.57091,0.7091,0.63345,1.57794,0.822247,9.17616e-05,9.17616e-05,9.17616e-05
31,15581.8,0.68855,0.62604,1.5009,0.88932,0.81884,0.8852,0.56669,0.71142,0.63749,1.58218,0.821446,7.74911e-05,7.74911e-05,7.74911e-05
32,16065.3,0.68332,0.61772,1.48949,0.87929,0.83097,0.88938,0.57203,0.71129,0.63399,1.58073,0.82814,6.42995e-05,6.42995e-05,6.42995e-05
33,16550.4,0.68471,0.61691,1.48775,0.89188,0.81524,0.88566,0.56882,0.70706,0.62982,1.57296,0.820278,5.22683e-05,5.22683e-05,5.22683e-05
34,17034.4,0.67514,0.60332,1.47028,0.87926,0.82575,0.88657,0.57169,0.70452,0.63109,1.57023,0.824695,4.14716e-05,4.14716e-05,4.14716e-05
35,17518.4,0.67691,0.59807,1.47739,0.88859,0.82278,0.88898,0.57364,0.70639,0.6259,1.57155,0.825148,3.19759e-05,3.19759e-05,3.19759e-05
36,18001.6,0.67615,0.59619,1.48126,0.8882,0.82553,0.88859,0.57333,0.70357,0.62647,1.56742,0.826318,2.38398e-05,2.38398e-05,2.38398e-05
37,18485.7,0.6735,0.59531,1.4709,0.89003,0.82104,0.88913,0.57275,0.70314,0.62448,1.56694,0.824395,1.71135e-05,1.71135e-05,1.71135e-05
38,18969.2,0.67011,0.5937,1.47504,0.88673,0.82773,0.88997,0.57284,0.70442,0.62544,1.5687,0.827611,1.18384e-05,1.18384e-05,1.18384e-05
39,19452.5,0.67232,0.59643,1.46856,0.88828,0.82129,0.88776,0.57243,0.70416,0.62487,1.56837,0.823891,8.04714e-06,8.04714e-06,8.04714e-06
40,19936,0.66884,0.59434,1.4728,0.89026,0.81834,0.88841,0.57288,0.70413,0.6259,1.56764,0.822878,5.76296e-06,5.76296e-06,5.76296e-06
